# Date of production: 2025-08-22
# Produced by: Arthur Garreau
# Error propagation simulation with a Monte Carlo approach of 500 simulations,
# for the model of beam and diffuse estimations, with an input error of 10%. 
# The p-value correspond of a normality distribution test on the model output after each Monte Carlo simulatins.
# Location: 78.200318N 15.840308E
# The orientations used are : ['GHI', 'N_45', 'E_45', 'S_45', 'W_45']
# GENERAL RESULTS:
# Error model Diffuse = 2.02 % 
# Error model Beam = 0.77 % 
# % of p-value<0.05 Diffuse = 4.58 % 
# % of p-value<0.05 Beam = 9.55 % 
#[UTC]		[%]	 [%]	 [%]	 [%]
Timestamp	Error Diffuse	Error Beam	pvalue Diffuse	pvalue Beam
2023-04-19 06:00:00+00:00	0.02	0.024	0.634	0.286
2023-04-19 07:00:00+00:00	0.018	0.038	0.286	0.018
2023-04-19 08:00:00+00:00	0.009	0.144	NaN	NaN
2023-04-19 09:00:00+00:00	NaN	NaN	NaN	NaN
2023-04-19 10:00:00+00:00	0.019	0.003	0.779	0.0
2023-04-19 11:00:00+00:00	0.02	0.028	0.694	0.107
2023-04-19 12:00:00+00:00	0.019	0.043	0.058	0.003
2023-04-19 13:00:00+00:00	0.019	0.022	0.067	0.014
2023-04-19 14:00:00+00:00	0.02	0.002	0.459	0.0
2023-04-19 15:00:00+00:00	0.021	0.01	0.225	0.192
2023-04-19 16:00:00+00:00	0.018	0.068	0.865	0.516
2023-04-19 17:00:00+00:00	0.022	0.002	0.989	0.0
2023-04-19 18:00:00+00:00	0.045	0.007	0.222	0.599
2023-04-19 19:00:00+00:00	0.019	0.001	0.752	0.0
2023-04-19 20:00:00+00:00	0.025	0.004	0.459	0.109
2023-04-20 06:00:00+00:00	0.046	0.009	0.392	0.307
2023-04-20 07:00:00+00:00	0.055	0.009	0.595	0.492
2023-04-20 08:00:00+00:00	0.065	0.011	0.582	0.899
2023-04-20 09:00:00+00:00	0.075	0.013	0.326	0.444
2023-04-20 10:00:00+00:00	0.075	0.013	0.255	0.543
2023-04-20 11:00:00+00:00	0.077	0.013	0.084	0.351
2023-04-20 12:00:00+00:00	0.065	0.012	0.003	0.023
2023-04-20 13:00:00+00:00	0.054	0.01	0.178	0.226
2023-04-20 14:00:00+00:00	0.066	0.011	0.533	0.221
2023-04-20 15:00:00+00:00	0.053	0.01	0.701	0.691
2023-04-20 16:00:00+00:00	0.052	0.01	0.363	0.337
2023-04-20 17:00:00+00:00	0.036	0.006	0.889	0.909
2023-04-20 18:00:00+00:00	0.026	0.004	0.788	0.587
2023-04-20 19:00:00+00:00	0.025	0.005	0.145	0.032
2023-04-20 20:00:00+00:00	0.017	0.003	0.606	0.0
2023-04-21 06:00:00+00:00	0.037	0.009	0.61	0.486
2023-04-21 07:00:00+00:00	0.06	0.01	0.846	0.958
2023-04-21 08:00:00+00:00	0.049	0.01	0.121	0.255
2023-04-21 09:00:00+00:00	0.058	0.01	0.633	0.727
2023-04-21 10:00:00+00:00	0.051	0.01	0.714	0.522
2023-04-21 11:00:00+00:00	0.039	0.006	0.842	0.9
2023-04-21 12:00:00+00:00	0.069	0.012	0.813	0.846
2023-04-21 13:00:00+00:00	0.072	0.013	0.077	0.399
2023-04-21 14:00:00+00:00	0.066	0.012	0.135	0.292
2023-04-21 15:00:00+00:00	0.035	0.005	0.719	0.335
2023-04-21 16:00:00+00:00	0.045	0.009	0.246	0.317
2023-04-21 17:00:00+00:00	0.047	0.008	0.943	0.982
2023-04-21 18:00:00+00:00	0.038	0.006	0.078	0.39
2023-04-21 19:00:00+00:00	0.034	0.006	0.575	0.78
2023-04-21 20:00:00+00:00	0.019	0.001	0.621	0.0
2023-04-22 06:00:00+00:00	0.021	0.004	0.967	0.971
2023-04-22 07:00:00+00:00	0.028	0.005	0.387	0.793
2023-04-22 08:00:00+00:00	0.044	0.009	0.541	0.418
2023-04-22 09:00:00+00:00	0.033	0.008	0.789	0.888
2023-04-22 10:00:00+00:00	0.035	0.006	0.081	0.216
2023-04-22 11:00:00+00:00	0.052	0.011	0.545	0.619
2023-04-22 12:00:00+00:00	0.065	0.012	0.441	0.099
2023-04-22 13:00:00+00:00	0.037	0.01	0.188	0.462
2023-04-22 14:00:00+00:00	0.039	0.006	0.574	0.697
2023-04-22 15:00:00+00:00	0.055	0.009	0.558	0.485
2023-04-22 16:00:00+00:00	0.048	0.009	0.41	0.842
