# Date of production: 2025-08-22
# Produced by: Arthur Garreau
# Error propagation simulation with a Monte Carlo approach of 500 simulations,
# for the model of beam and diffuse estimations, with an input error of 10%. 
# The p-value correspond of a normality distribution test on the model output after each Monte Carlo simulatins.
# Location: 78.200318N 15.840308E
# The orientations used are : ['GHI', 'N_45', 'N_90', 'N_135', 'E_45', 'E_90', 'E_135', 'S_45', 'S_90', 'S_135', 'W_45', 'W_90', 'W_135']
# GENERAL RESULTS:
# Error model Diffuse = 1.72 % 
# Error model Beam = 1.55 % 
# % of p-value<0.05 Diffuse = 12.82 % 
# % of p-value<0.05 Beam = 34.69 % 
#[UTC]		[%]	 [%]	 [%]	 [%]
Timestamp	Error Diffuse	Error Beam	pvalue Diffuse	pvalue Beam
2024-04-19 06:00:00+00:00	0.034	0.064	0.716	0.0
2024-04-19 07:00:00+00:00	0.033	0.076	0.227	0.0
2024-04-19 08:00:00+00:00	0.034	0.018	0.348	0.0
2024-04-19 09:00:00+00:00	0.035	0.015	0.419	0.0
2024-04-19 10:00:00+00:00	0.035	0.018	0.561	0.0
2024-04-19 11:00:00+00:00	0.034	0.022	0.397	0.0
2024-04-19 12:00:00+00:00	0.03	0.047	0.45	0.0
2024-04-19 13:00:00+00:00	0.01	0.328	NaN	NaN
2024-04-19 14:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-19 15:00:00+00:00	0.036	0.013	0.302	0.0
2024-04-19 16:00:00+00:00	0.038	0.004	0.591	0.0
2024-04-19 17:00:00+00:00	0.033	0.009	0.168	0.0
2024-04-19 18:00:00+00:00	0.048	0.007	0.705	0.0
2024-04-19 19:00:00+00:00	0.033	0.007	0.656	0.0
2024-04-19 20:00:00+00:00	0.03	0.031	0.007	0.0
2024-04-20 06:00:00+00:00	0.035	0.011	0.021	0.0
2024-04-20 07:00:00+00:00	0.034	0.011	0.657	0.0
2024-04-20 08:00:00+00:00	0.036	0.006	0.126	0.0
2024-04-20 09:00:00+00:00	0.038	0.006	0.944	0.0
2024-04-20 10:00:00+00:00	0.035	0.009	0.743	0.0
2024-04-20 11:00:00+00:00	0.036	0.004	0.292	0.0
2024-04-20 12:00:00+00:00	0.034	0.017	0.384	0.0
2024-04-20 13:00:00+00:00	0.034	0.085	0.033	0.0
2024-04-20 14:00:00+00:00	0.032	0.118	0.126	0.0
2024-04-20 15:00:00+00:00	0.031	0.296	0.144	0.0
2024-04-20 16:00:00+00:00	0.011	0.293	NaN	NaN
2024-04-20 17:00:00+00:00	0.03	0.134	0.845	0.0
2024-04-20 18:00:00+00:00	0.015	0.273	NaN	NaN
2024-04-20 19:00:00+00:00	0.028	0.071	0.556	0.0
2024-04-20 20:00:00+00:00	0.026	0.09	0.718	0.0
2024-04-21 06:00:00+00:00	0.038	0.025	0.215	0.0
2024-04-21 07:00:00+00:00	0.04	0.007	0.533	0.0
2024-04-21 08:00:00+00:00	0.046	0.005	0.057	0.0
2024-04-21 09:00:00+00:00	0.045	0.007	0.214	0.0
2024-04-21 10:00:00+00:00	0.044	0.004	0.425	0.0
2024-04-21 11:00:00+00:00	0.053	0.018	0.373	0.003
2024-04-21 12:00:00+00:00	0.056	0.015	0.811	0.001
2024-04-21 13:00:00+00:00	0.043	0.005	0.842	0.0
2024-04-21 14:00:00+00:00	0.038	0.03	0.633	0.0
2024-04-21 15:00:00+00:00	0.038	0.094	0.596	0.0
2024-04-21 16:00:00+00:00	0.038	0.047	0.366	0.0
2024-04-21 17:00:00+00:00	0.015	0.252	NaN	NaN
2024-04-21 18:00:00+00:00	0.006	0.143	NaN	NaN
2024-04-21 19:00:00+00:00	0.008	0.188	NaN	NaN
2024-04-21 20:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-22 06:00:00+00:00	0.029	0.037	0.498	0.0
2024-04-22 07:00:00+00:00	0.029	0.034	0.909	0.0
2024-04-22 08:00:00+00:00	0.038	0.002	0.009	0.0
2024-04-22 09:00:00+00:00	0.031	0.002	0.612	0.0
2024-04-22 10:00:00+00:00	0.045	0.012	0.045	0.0
2024-04-22 11:00:00+00:00	0.064	0.021	0.812	0.084
2024-04-22 12:00:00+00:00	0.032	0.001	0.74	0.0
2024-04-22 13:00:00+00:00	0.037	0.002	0.279	0.0
2024-04-22 14:00:00+00:00	0.028	0.042	0.387	0.0
2024-04-22 15:00:00+00:00	0.062	0.016	0.258	0.0
2024-04-22 16:00:00+00:00	0.051	0.014	0.079	0.002
2024-04-22 17:00:00+00:00	0.028	0.033	0.166	0.0
2024-04-22 18:00:00+00:00	0.028	0.021	0.302	0.0
2024-04-22 19:00:00+00:00	0.026	0.011	0.62	0.0
2024-04-22 20:00:00+00:00	0.025	0.021	0.88	0.0
2024-04-23 06:00:00+00:00	0.042	0.004	0.673	0.0
2024-04-23 07:00:00+00:00	0.025	0.024	0.178	0.0
2024-04-23 08:00:00+00:00	0.029	0.004	0.722	0.0
2024-04-23 09:00:00+00:00	0.038	0.009	0.437	0.023
