# Date of production: 2025-08-22
# Produced by: Arthur Garreau
# Error propagation simulation with a Monte Carlo approach of 500 simulations,
# for the model of beam and diffuse estimations, with an input error of 10%. 
# The p-value correspond of a normality distribution test on the model output after each Monte Carlo simulatins.
# Location: 78.200318N 15.840308E
# The orientations used are : ['GHI', 'N_45', 'N_90', 'N_135', 'E_45', 'E_90', 'E_135', 'S_45', 'S_90', 'S_135', 'W_45', 'W_90', 'W_135']
# GENERAL RESULTS:
# Error model Diffuse = 8.39 % 
# Error model Beam = 29.13 % 
# % of p-value<0.05 Diffuse = 5.03 % 
# % of p-value<0.05 Beam = 10.06 % 
#[UTC]		[%]	 [%]	 [%]	 [%]
Timestamp	Error Diffuse	Error Beam	pvalue Diffuse	pvalue Beam
2024-04-19 06:00:00+00:00	0.036	0.547	NaN	NaN
2024-04-19 07:00:00+00:00	0.041	0.588	NaN	NaN
2024-04-19 08:00:00+00:00	0.047	0.336	NaN	NaN
2024-04-19 09:00:00+00:00	0.046	0.392	NaN	NaN
2024-04-19 10:00:00+00:00	0.04	0.501	NaN	NaN
2024-04-19 11:00:00+00:00	0.039	0.595	NaN	NaN
2024-04-19 12:00:00+00:00	0.039	0.634	NaN	NaN
2024-04-19 13:00:00+00:00	0.036	0.699	NaN	NaN
2024-04-19 14:00:00+00:00	0.035	0.701	NaN	NaN
2024-04-19 15:00:00+00:00	0.044	0.252	0.368	0.163
2024-04-19 16:00:00+00:00	0.042	0.162	0.764	0.572
2024-04-19 17:00:00+00:00	0.04	0.235	0.809	0.317
2024-04-19 18:00:00+00:00	0.068	0.096	0.531	0.803
2024-04-19 19:00:00+00:00	0.046	0.129	0.592	0.873
2024-04-19 20:00:00+00:00	0.041	0.199	0.428	0.284
2024-04-20 06:00:00+00:00	0.042	0.26	0.795	0.993
2024-04-20 07:00:00+00:00	0.046	0.266	0.133	0.485
2024-04-20 08:00:00+00:00	0.047	0.198	0.823	0.364
2024-04-20 09:00:00+00:00	0.048	0.264	0.887	0.699
2024-04-20 10:00:00+00:00	0.043	0.441	NaN	NaN
2024-04-20 11:00:00+00:00	0.045	0.449	NaN	NaN
2024-04-20 12:00:00+00:00	0.041	0.54	NaN	NaN
2024-04-20 13:00:00+00:00	0.04	0.621	NaN	NaN
2024-04-20 14:00:00+00:00	0.042	0.651	NaN	NaN
2024-04-20 15:00:00+00:00	0.038	0.634	NaN	NaN
2024-04-20 16:00:00+00:00	0.038	0.619	NaN	NaN
2024-04-20 17:00:00+00:00	0.034	0.61	NaN	NaN
2024-04-20 18:00:00+00:00	0.032	0.551	NaN	NaN
2024-04-20 19:00:00+00:00	0.039	0.39	NaN	NaN
2024-04-20 20:00:00+00:00	0.037	0.361	NaN	NaN
2024-04-21 06:00:00+00:00	0.04	0.491	NaN	NaN
2024-04-21 07:00:00+00:00	0.047	0.289	0.164	0.517
2024-04-21 08:00:00+00:00	0.056	0.154	0.707	0.835
2024-04-21 09:00:00+00:00	0.052	0.202	0.339	0.472
2024-04-21 10:00:00+00:00	0.05	0.317	0.238	0.722
2024-04-21 11:00:00+00:00	0.06	0.164	0.786	0.821
2024-04-21 12:00:00+00:00	0.062	0.164	0.764	0.207
2024-04-21 13:00:00+00:00	0.05	0.284	0.463	0.425
2024-04-21 14:00:00+00:00	0.043	0.53	NaN	NaN
2024-04-21 15:00:00+00:00	0.039	0.644	NaN	NaN
2024-04-21 16:00:00+00:00	0.037	0.543	NaN	NaN
2024-04-21 17:00:00+00:00	0.031	0.673	NaN	NaN
2024-04-21 18:00:00+00:00	0.033	0.606	NaN	NaN
2024-04-21 19:00:00+00:00	0.034	0.572	NaN	NaN
2024-04-21 20:00:00+00:00	0.024	0.362	NaN	NaN
2024-04-22 06:00:00+00:00	0.042	0.427	NaN	NaN
2024-04-22 07:00:00+00:00	0.046	0.408	NaN	NaN
2024-04-22 08:00:00+00:00	0.056	0.127	0.626	0.91
2024-04-22 09:00:00+00:00	0.047	0.246	0.597	0.973
2024-04-22 10:00:00+00:00	0.061	0.136	0.731	0.569
2024-04-22 11:00:00+00:00	0.084	0.12	0.188	0.276
2024-04-22 12:00:00+00:00	0.052	0.246	0.576	0.373
2024-04-22 13:00:00+00:00	0.054	0.14	0.367	0.605
2024-04-22 14:00:00+00:00	0.043	0.481	NaN	NaN
2024-04-22 15:00:00+00:00	0.091	0.099	0.931	0.644
2024-04-22 16:00:00+00:00	0.075	0.107	0.963	0.822
2024-04-22 17:00:00+00:00	0.038	0.397	NaN	NaN
2024-04-22 18:00:00+00:00	0.042	0.211	0.446	0.015
2024-04-22 19:00:00+00:00	0.043	0.137	0.133	0.705
2024-04-22 20:00:00+00:00	0.041	0.157	0.989	0.568
2024-04-23 06:00:00+00:00	0.073	0.101	0.79	0.123
2024-04-23 07:00:00+00:00	0.047	0.315	0.362	0.211
