# Date of production: 2025-08-22
# Produced by: Arthur Garreau
# Error propagation simulation with a Monte Carlo approach of 500 simulations,
# for the model of beam and diffuse estimations, with an input error of 10%. 
# The p-value correspond of a normality distribution test on the model output after each Monte Carlo simulatins.
# Location: 78.200318N 15.840308E
# The orientations used are : ['GHI', 'N_45', 'E_45', 'S_45', 'W_45']
# GENERAL RESULTS:
# Error model Diffuse = 0.62 % 
# Error model Beam = 0.21 % 
# % of p-value<0.05 Diffuse = 4.58 % 
# % of p-value<0.05 Beam = 5.88 % 
#[UTC]		[%]	 [%]	 [%]	 [%]
Timestamp	Error Diffuse	Error Beam	pvalue Diffuse	pvalue Beam
2024-04-19 06:00:00+00:00	0.008	0.011	0.825	0.815
2024-04-19 07:00:00+00:00	0.008	0.011	0.381	0.221
2024-04-19 08:00:00+00:00	0.01	0.002	0.466	0.205
2024-04-19 09:00:00+00:00	0.009	0.001	0.534	0.001
2024-04-19 10:00:00+00:00	0.009	0.002	0.293	0.189
2024-04-19 11:00:00+00:00	0.008	0.005	0.959	0.772
2024-04-19 12:00:00+00:00	0.009	0.007	0.48	0.169
2024-04-19 13:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-19 14:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-19 15:00:00+00:00	0.009	0.001	0.713	0.646
2024-04-19 16:00:00+00:00	0.009	0.001	0.806	0.877
2024-04-19 17:00:00+00:00	0.008	0.002	0.253	0.287
2024-04-19 18:00:00+00:00	0.013	0.002	0.628	0.603
2024-04-19 19:00:00+00:00	0.008	0.002	0.987	0.892
2024-04-19 20:00:00+00:00	0.007	0.008	0.14	0.212
2024-04-20 06:00:00+00:00	0.009	0.001	0.707	0.211
2024-04-20 07:00:00+00:00	0.009	0.001	0.116	0.0
2024-04-20 08:00:00+00:00	0.01	0.001	0.655	0.03
2024-04-20 09:00:00+00:00	0.01	0.001	0.115	0.464
2024-04-20 10:00:00+00:00	0.009	0.0	0.502	0.0
2024-04-20 11:00:00+00:00	0.008	0.001	0.105	0.019
2024-04-20 12:00:00+00:00	0.008	0.001	0.572	0.642
2024-04-20 13:00:00+00:00	0.009	0.012	0.031	0.004
2024-04-20 14:00:00+00:00	0.009	0.014	0.994	0.995
2024-04-20 15:00:00+00:00	0.008	0.026	0.199	0.142
2024-04-20 16:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-20 17:00:00+00:00	0.008	0.034	0.752	0.566
2024-04-20 18:00:00+00:00	0.006	0.102	NaN	NaN
2024-04-20 19:00:00+00:00	0.007	0.015	0.484	0.202
2024-04-20 20:00:00+00:00	0.007	0.025	0.689	0.434
2024-04-21 06:00:00+00:00	0.01	0.006	0.878	0.427
2024-04-21 07:00:00+00:00	0.01	0.001	0.64	0.004
2024-04-21 08:00:00+00:00	0.012	0.002	0.755	0.524
2024-04-21 09:00:00+00:00	0.011	0.002	0.964	0.828
2024-04-21 10:00:00+00:00	0.011	0.001	0.041	0.199
2024-04-21 11:00:00+00:00	0.014	0.004	0.664	0.472
2024-04-21 12:00:00+00:00	0.013	0.004	0.298	0.193
2024-04-21 13:00:00+00:00	0.011	0.002	0.413	0.841
2024-04-21 14:00:00+00:00	0.01	0.004	0.011	0.0
2024-04-21 15:00:00+00:00	0.01	0.013	0.506	0.698
2024-04-21 16:00:00+00:00	0.01	0.008	0.567	0.632
2024-04-21 17:00:00+00:00	0.009	0.064	0.139	0.109
2024-04-21 18:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-21 19:00:00+00:00	0.003	0.075	NaN	NaN
2024-04-21 20:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-22 06:00:00+00:00	0.007	0.004	0.234	0.465
2024-04-22 07:00:00+00:00	0.008	0.004	0.421	0.61
2024-04-22 08:00:00+00:00	0.01	0.002	0.94	0.925
2024-04-22 09:00:00+00:00	0.008	0.002	0.156	0.341
