# Date of production: 2025-08-22
# Produced by: Arthur Garreau
# Error propagation simulation with a Monte Carlo approach of 500 simulations,
# for the model of beam and diffuse estimations, with an input error of 10%. 
# The p-value correspond of a normality distribution test on the model output after each Monte Carlo simulatins.
# Location: 78.200318N 15.840308E
# The orientations used are : ['GHI', 'N_45', 'E_45', 'S_45', 'W_45']
# GENERAL RESULTS:
# Error model Diffuse = 13.27 % 
# Error model Beam = 36.56 % 
# % of p-value<0.05 Diffuse = 4.24 % 
# % of p-value<0.05 Beam = 8.7 % 
#[UTC]		[%]	 [%]	 [%]	 [%]
Timestamp	Error Diffuse	Error Beam	pvalue Diffuse	pvalue Beam
2024-04-19 06:00:00+00:00	0.057	0.615	NaN	NaN
2024-04-19 07:00:00+00:00	0.058	0.626	NaN	NaN
2024-04-19 08:00:00+00:00	0.064	0.483	NaN	NaN
2024-04-19 09:00:00+00:00	0.066	0.541	NaN	NaN
2024-04-19 10:00:00+00:00	0.062	0.567	NaN	NaN
2024-04-19 11:00:00+00:00	0.061	0.662	NaN	NaN
2024-04-19 12:00:00+00:00	0.063	0.715	NaN	NaN
2024-04-19 13:00:00+00:00	0.06	0.723	NaN	NaN
2024-04-19 14:00:00+00:00	0.054	0.786	NaN	NaN
2024-04-19 15:00:00+00:00	0.067	0.371	NaN	NaN
2024-04-19 16:00:00+00:00	0.067	0.259	0.253	0.036
2024-04-19 17:00:00+00:00	0.068	0.349	NaN	NaN
2024-04-19 18:00:00+00:00	0.098	0.152	0.291	0.003
2024-04-19 19:00:00+00:00	0.062	0.204	0.222	0.843
2024-04-19 20:00:00+00:00	0.06	0.322	NaN	NaN
2024-04-20 06:00:00+00:00	0.065	0.379	NaN	NaN
2024-04-20 07:00:00+00:00	0.065	0.384	NaN	NaN
2024-04-20 08:00:00+00:00	0.065	0.282	0.76	0.051
2024-04-20 09:00:00+00:00	0.067	0.395	NaN	NaN
2024-04-20 10:00:00+00:00	0.066	0.547	NaN	NaN
2024-04-20 11:00:00+00:00	0.071	0.59	NaN	NaN
2024-04-20 12:00:00+00:00	0.064	0.645	NaN	NaN
2024-04-20 13:00:00+00:00	0.057	0.667	NaN	NaN
2024-04-20 14:00:00+00:00	0.061	0.73	NaN	NaN
2024-04-20 15:00:00+00:00	0.055	0.684	NaN	NaN
2024-04-20 16:00:00+00:00	0.059	0.688	NaN	NaN
2024-04-20 17:00:00+00:00	0.056	0.671	NaN	NaN
2024-04-20 18:00:00+00:00	0.054	0.604	NaN	NaN
2024-04-20 19:00:00+00:00	0.061	0.513	NaN	NaN
2024-04-20 20:00:00+00:00	0.054	0.483	NaN	NaN
2024-04-21 06:00:00+00:00	0.062	0.559	NaN	NaN
2024-04-21 07:00:00+00:00	0.067	0.404	NaN	NaN
2024-04-21 08:00:00+00:00	0.074	0.208	0.243	0.569
2024-04-21 09:00:00+00:00	0.072	0.285	0.895	0.439
2024-04-21 10:00:00+00:00	0.07	0.446	NaN	NaN
2024-04-21 11:00:00+00:00	0.094	0.243	0.192	0.882
2024-04-21 12:00:00+00:00	0.082	0.245	0.588	0.106
2024-04-21 13:00:00+00:00	0.068	0.388	NaN	NaN
2024-04-21 14:00:00+00:00	0.063	0.582	NaN	NaN
2024-04-21 15:00:00+00:00	0.063	0.664	NaN	NaN
2024-04-21 16:00:00+00:00	0.061	0.58	NaN	NaN
2024-04-21 17:00:00+00:00	0.05	0.669	NaN	NaN
2024-04-21 18:00:00+00:00	0.05	0.67	NaN	NaN
2024-04-21 19:00:00+00:00	0.049	0.622	NaN	NaN
2024-04-21 20:00:00+00:00	0.05	0.596	NaN	NaN
2024-04-22 06:00:00+00:00	0.058	0.542	NaN	NaN
2024-04-22 07:00:00+00:00	0.063	0.53	NaN	NaN
2024-04-22 08:00:00+00:00	0.076	0.184	0.041	0.544
2024-04-22 09:00:00+00:00	0.065	0.375	NaN	NaN
2024-04-22 10:00:00+00:00	0.091	0.204	0.847	0.376
2024-04-22 11:00:00+00:00	0.165	0.203	0.062	0.025
2024-04-22 12:00:00+00:00	0.074	0.435	NaN	NaN
2024-04-22 13:00:00+00:00	0.072	0.206	0.315	0.419
2024-04-22 14:00:00+00:00	0.061	0.568	NaN	NaN
2024-04-22 15:00:00+00:00	0.119	0.136	0.43	0.164
2024-04-22 16:00:00+00:00	0.116	0.17	0.111	0.0
2024-04-22 17:00:00+00:00	0.065	0.507	NaN	NaN
2024-04-22 18:00:00+00:00	0.062	0.399	NaN	NaN
2024-04-22 19:00:00+00:00	0.066	0.246	0.886	0.521
2024-04-22 20:00:00+00:00	0.061	0.267	0.587	0.251
2024-04-23 06:00:00+00:00	0.116	0.144	0.799	0.23
2024-04-23 07:00:00+00:00	0.065	0.408	NaN	NaN
2024-04-23 08:00:00+00:00	0.066	0.224	0.795	0.067
2024-04-23 09:00:00+00:00	0.079	0.153	0.839	0.371
2024-04-23 10:00:00+00:00	0.083	0.212	0.326	0.039
2024-04-23 11:00:00+00:00	0.108	0.215	0.053	0.017
2024-04-23 12:00:00+00:00	0.074	0.343	0.287	0.035
2024-04-23 13:00:00+00:00	0.078	0.168	0.474	0.22
2024-04-23 14:00:00+00:00	0.069	0.3	0.743	0.53
2024-04-23 15:00:00+00:00	0.07	0.266	0.854	0.648
2024-04-23 16:00:00+00:00	0.236	0.151	0.318	0.508
2024-04-23 17:00:00+00:00	0.268	0.163	0.443	0.001
2024-04-23 18:00:00+00:00	0.209	0.138	0.893	0.274
2024-04-23 19:00:00+00:00	0.148	0.108	0.981	0.363
2024-04-23 20:00:00+00:00	0.095	0.094	0.361	0.057
2024-04-24 06:00:00+00:00	0.071	0.25	0.676	0.918
2024-04-24 07:00:00+00:00	0.065	0.548	NaN	NaN
2024-04-24 08:00:00+00:00	0.062	0.527	NaN	NaN
2024-04-24 09:00:00+00:00	0.063	0.4	NaN	NaN
2024-04-24 10:00:00+00:00	0.075	0.353	NaN	NaN
2024-04-24 11:00:00+00:00	0.076	0.35	NaN	NaN
2024-04-24 12:00:00+00:00	0.073	0.33	NaN	NaN
2024-04-24 13:00:00+00:00	0.06	0.469	NaN	NaN
2024-04-24 14:00:00+00:00	0.093	0.116	0.384	0.785
2024-04-24 15:00:00+00:00	0.236	0.129	0.681	0.096
2024-04-24 16:00:00+00:00	0.312	0.165	0.576	0.094
2024-04-24 17:00:00+00:00	0.3	0.165	NaN	NaN
2024-04-24 18:00:00+00:00	0.227	0.139	0.006	0.0
2024-04-24 19:00:00+00:00	0.175	0.114	0.611	0.27
2024-04-24 20:00:00+00:00	0.102	0.095	0.62	0.751
2024-04-25 06:00:00+00:00	0.281	0.159	0.873	0.25
