Date of production: 2025-05-14
Produced by: Arthur Garreau
Best estimation of beam and diffuse irradiance with GLOB using the Faiman et al. (1992) method.
Location: Ny-Alesund (78.92240N 11.92174E).
[UTC]		[W m-2]	 [W m-2]	  [W m-2]	 [W m-2]	 [/]	 [°]	 [/]
Timestamp	Beam	Diffuse	Beam_prime	Diffuse_prime	Best_Combination	Solar zenith	Albedo
2025-04-01 00:00:00+00:00	NaN	NaN	NaN	NaN	nan	96.33	0.85
2025-04-01 00:10:00+00:00	NaN	NaN	NaN	NaN	nan	96.22	0.85
2025-04-01 00:20:00+00:00	NaN	NaN	NaN	NaN	nan	96.1	0.85
2025-04-01 00:30:00+00:00	NaN	NaN	NaN	NaN	nan	95.95	0.85
2025-04-01 00:40:00+00:00	NaN	NaN	NaN	NaN	nan	95.79	0.85
2025-04-01 00:50:00+00:00	NaN	NaN	NaN	NaN	nan	95.6	0.85
2025-04-01 01:00:00+00:00	NaN	NaN	NaN	NaN	nan	95.4	0.85
2025-04-01 01:10:00+00:00	NaN	NaN	NaN	NaN	nan	95.18	0.85
2025-04-01 01:20:00+00:00	NaN	NaN	NaN	NaN	nan	94.93	0.85
2025-04-01 01:30:00+00:00	NaN	NaN	NaN	NaN	nan	94.68	0.85
2025-04-01 01:40:00+00:00	NaN	NaN	NaN	NaN	nan	94.4	0.85
2025-04-01 01:50:00+00:00	NaN	NaN	NaN	NaN	nan	94.11	0.85
2025-04-01 02:00:00+00:00	NaN	NaN	NaN	NaN	nan	93.8	0.85
2025-04-01 02:10:00+00:00	NaN	NaN	NaN	NaN	nan	93.47	0.85
2025-04-01 02:20:00+00:00	NaN	NaN	NaN	NaN	nan	93.13	0.85
2025-04-01 02:30:00+00:00	NaN	NaN	NaN	NaN	nan	92.78	0.85
2025-04-01 02:40:00+00:00	NaN	NaN	NaN	NaN	nan	92.41	0.85
2025-04-01 02:50:00+00:00	NaN	NaN	NaN	NaN	nan	92.03	0.85
2025-04-01 03:00:00+00:00	NaN	NaN	NaN	NaN	nan	91.63	0.85
2025-04-01 03:10:00+00:00	NaN	NaN	NaN	NaN	nan	91.23	0.85
2025-04-01 03:20:00+00:00	NaN	NaN	NaN	NaN	nan	90.81	0.85
2025-04-01 03:30:00+00:00	NaN	NaN	NaN	NaN	nan	90.39	0.85
2025-04-01 03:40:00+00:00	NaN	NaN	NaN	NaN	nan	89.95	0.85
2025-04-01 03:50:00+00:00	NaN	NaN	NaN	NaN	nan	89.51	0.85
2025-04-01 04:00:00+00:00	0.0	12.0	0.0	12.0	all	89.06	0.85
2025-04-01 04:10:00+00:00	NaN	NaN	NaN	NaN	nan	88.6	0.85
2025-04-01 04:20:00+00:00	NaN	NaN	NaN	NaN	nan	88.13	0.85
2025-04-01 04:30:00+00:00	NaN	NaN	NaN	NaN	nan	87.66	0.85
2025-04-01 04:40:00+00:00	NaN	NaN	NaN	NaN	nan	87.19	0.85
2025-04-01 04:50:00+00:00	0.0	17.0	0.0	17.0	all	86.71	0.85
2025-04-01 05:00:00+00:00	0.0	18.0	0.0	18.0	all	86.23	0.85
2025-04-01 05:10:00+00:00	1.0	21.0	1.0	21.0	all	85.75	0.85
2025-04-01 05:20:00+00:00	1.0	18.0	1.0	18.0	all	85.26	0.85
2025-04-01 05:30:00+00:00	0.0	18.0	0.0	18.0	all	84.78	0.85
2025-04-01 05:40:00+00:00	2.0	23.0	2.0	23.0	all	84.3	0.85
2025-04-01 05:50:00+00:00	5.0	28.0	6.0	28.0	all	83.82	0.85
2025-04-01 06:00:00+00:00	7.0	36.0	8.0	36.0	all	83.34	0.85
2025-04-01 06:10:00+00:00	22.0	82.0	33.0	80.0	all	82.87	0.85
2025-04-01 06:20:00+00:00	48.0	112.0	78.0	108.0	all	82.4	0.85
2025-04-01 06:30:00+00:00	67.0	125.0	110.0	119.0	all	81.93	0.85
2025-04-01 06:40:00+00:00	17.0	61.0	22.0	61.0	all	81.48	0.85
2025-04-01 06:50:00+00:00	7.0	53.0	9.0	52.0	all	81.02	0.85
2025-04-01 07:00:00+00:00	5.0	49.0	7.0	49.0	all	80.58	0.85
2025-04-01 07:10:00+00:00	4.0	40.0	5.0	40.0	all	80.15	0.85
2025-04-01 07:20:00+00:00	8.0	53.0	10.0	53.0	all	79.72	0.85
2025-04-01 07:30:00+00:00	12.0	68.0	15.0	67.0	all	79.31	0.85
2025-04-01 07:40:00+00:00	14.0	72.0	18.0	71.0	all	78.9	0.85
2025-04-01 07:50:00+00:00	13.0	70.0	17.0	70.0	all	78.51	0.85
2025-04-01 08:00:00+00:00	20.0	80.0	25.0	79.0	all	78.13	0.85
2025-04-01 08:10:00+00:00	31.0	89.0	41.0	87.0	all	77.77	0.85
2025-04-01 08:20:00+00:00	33.0	84.0	43.0	82.0	all	77.42	0.85
2025-04-01 08:30:00+00:00	36.0	82.0	46.0	80.0	all	77.08	0.85
2025-04-01 08:40:00+00:00	42.0	98.0	55.0	95.0	all	76.76	0.85
2025-04-01 08:50:00+00:00	41.0	102.0	53.0	99.0	all	76.46	0.85
2025-04-01 09:00:00+00:00	29.0	96.0	37.0	94.0	all	76.17	0.85
2025-04-01 09:10:00+00:00	70.0	146.0	101.0	138.0	all	75.9	0.85
2025-04-01 09:20:00+00:00	114.0	212.0	186.0	195.0	all	75.65	0.85
2025-04-01 09:30:00+00:00	151.0	270.0	269.0	240.0	all	75.41	0.85
2025-04-01 09:40:00+00:00	89.0	189.0	137.0	177.0	all	75.2	0.85
2025-04-01 09:50:00+00:00	50.0	157.0	72.0	151.0	all	75.01	0.85
2025-04-01 10:00:00+00:00	185.0	346.0	364.0	300.0	all	74.83	0.85
2025-04-01 10:10:00+00:00	185.0	360.0	369.0	311.0	all	74.68	0.85
2025-04-01 10:20:00+00:00	157.0	329.0	299.0	291.0	all	74.54	0.85
2025-04-01 10:30:00+00:00	98.0	247.0	164.0	229.0	all	74.43	0.85
2025-04-01 10:40:00+00:00	11.0	140.0	15.0	138.0	all	74.34	0.85
2025-04-01 10:50:00+00:00	22.0	149.0	31.0	146.0	all	74.27	0.85
2025-04-01 11:00:00+00:00	37.0	167.0	53.0	163.0	all	74.22	0.85
2025-04-01 11:10:00+00:00	15.0	120.0	20.0	118.0	all	74.2	0.85
2025-04-01 11:20:00+00:00	20.0	122.0	27.0	121.0	all	74.19	0.85
2025-04-01 11:30:00+00:00	15.0	117.0	19.0	115.0	all	74.21	0.85
2025-04-01 11:40:00+00:00	10.0	95.0	13.0	94.0	all	74.25	0.85
2025-04-01 11:50:00+00:00	12.0	96.0	15.0	95.0	all	74.3	0.85
2025-04-01 12:00:00+00:00	12.0	103.0	16.0	102.0	all	74.39	0.85
2025-04-01 12:10:00+00:00	11.0	110.0	15.0	109.0	all	74.49	0.85
2025-04-01 12:20:00+00:00	10.0	91.0	13.0	90.0	all	74.61	0.85
2025-04-01 12:30:00+00:00	9.0	102.0	11.0	101.0	all	74.76	0.85
2025-04-01 12:40:00+00:00	10.0	96.0	13.0	95.0	all	74.92	0.85
2025-04-01 12:50:00+00:00	13.0	96.0	17.0	95.0	all	75.11	0.85
2025-04-01 13:00:00+00:00	12.0	95.0	16.0	94.0	all	75.31	0.85
2025-04-01 13:10:00+00:00	10.0	83.0	13.0	82.0	all	75.53	0.85
2025-04-01 13:20:00+00:00	11.0	79.0	14.0	78.0	all	75.78	0.85
2025-04-01 13:30:00+00:00	12.0	74.0	15.0	73.0	all	76.04	0.85
2025-04-01 13:40:00+00:00	14.0	68.0	17.0	67.0	all	76.32	0.85
2025-04-01 13:50:00+00:00	12.0	78.0	16.0	77.0	all	76.61	0.85
